production_current,production_planned,production_past,quantity_sold,total_income,revenue_sales,new_loan_issuance,subsidies,good_price_current,good_price_past,total_liabilities,labor_wage_bill,capital_costs,tax_payments,debt_principal_payments,debt_interest_payments,dividend_payments,total_assets,leverage_ratio,cash_on_hand,dividend_ratio,dividend_ratio_optimist,dividend_ratio_pessimist,employee_count,wage_offer,employee_count_desired,n_active_job_postings,need_worker,w_target,w_current,inventory,working_capital_inventory,desired_inventory_factor,inventory_factor,sentiment,bankrupt,is_cons_firm,average_profit,average_sale_quantity,short_term_funding_gap,long_term_funding_gap,expected_wage_bill,layoff_wage_savings,expected_wage_bill_shortfall,expected_long_term_shortfall,labor_utilization,desired_inventory,inventory_reaction_factor,machine_utilization,desired_machines
0,974,0,0,0,0,0,0,9.48181,0,0,0,0,0,0,0,0,935226,0,935226,0.0448181,0.0448181,0.0248181,48,1000,48,0,1,0,0,974,48,1.43523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1160,0,0,0,0,0,0,13.2032,0,0,0,0,0,0,0,0,1.4004e+006,0,1.4004e+006,0.0820318,0.0820318,0.0620318,58,2000,58,0,1,0,0,1160,58,1.9004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,850,0,0,0,0,0,0,7.00208,0,0,0,0,0,0,0,0,625259,0,625259,0.0200208,0.0200208,0.0334954,42,3000,42,0,1,0,0,850,42,1.12526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1017,0,0,0,0,0,0,10.3495,0,0,0,0,0,0,0,0,1.04369e+006,0,1.04369e+006,0.0534954,0.0534954,0.0323853,50,4000,50,0,1,0,0,1017,50,1.54369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1011,0,0,0,0,0,0,10.2385,0,0,0,0,0,0,0,0,1.02982e+006,0,1.02982e+006,0.0523853,0.0523853,0.0239595,50,5000,50,0,1,0,0,1011,50,1.52982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,969,0,0,0,0,0,0,9.39595,0,0,0,0,0,0,0,0,924494,0,924494,0.0439595,0.0439595,0.0391636,48,6000,48,0,1,0,0,969,48,1.42449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1045,0,0,0,0,0,0,10.9164,0,0,0,0,0,0,0,0,1.11454e+006,0,1.11454e+006,0.0591636,0.0591636,0.0337797,52,7000,52,0,1,0,0,1045,52,1.61455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1018,0,0,0,0,0,0,10.378,0,0,0,0,0,0,0,0,1.04725e+006,0,1.04725e+006,0.0537797,0.0537797,0.0378995,50,8000,50,0,1,0,0,1018,50,1.54725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1039,0,0,0,0,0,0,10.7899,0,0,0,0,0,0,0,0,1.09874e+006,0,1.09874e+006,0.0578995,0.0578995,0.0308839,51,9000,51,0,1,0,0,1039,51,1.59874,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,763,0,0,0,0,0,0,5.26032,0,0,0,0,0,0,0,0,407540,0,407540,0.0508839,0.0508839,0.0167102,38,10000,38,0,1,0,0,763,38,0.90754,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1004,0,0,0,0,0,0,10.0884,0,0,0,0,0,0,0,0,1.01105e+006,0,1.01105e+006,0.0367102,0.0367102,0.0172749,50,11000,50,0,1,0,0,1004,50,1.51105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,933,0,0,0,0,0,0,8.67102,0,0,0,0,0,0,0,0,833877,0,833877,0.0372749,0.0372749,0.026575,46,12000,46,0,1,0,0,933,46,1.33388,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,936,0,0,0,0,0,0,8.72749,0,0,0,0,0,0,0,0,840935,0,840935,0.046575,0.046575,0.0646253,46,13000,46,0,1,0,0,936,46,1.34094,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,982,0,0,0,0,0,0,9.6575,0,0,0,0,0,0,0,0,957187,0,957187,0.0846253,0.0846253,0.014703,49,14000,49,0,1,0,0,982,49,1.45719,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1173,0,0,0,0,0,0,13.4625,0,0,0,0,0,0,0,0,1.43282e+006,0,1.43282e+006,0.034703,0.034703,0.044063,58,15000,58,0,1,0,0,1173,58,1.93282,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,923,0,0,0,0,0,0,8.47029,0,0,0,0,0,0,0,0,808786,0,808786,0.064063,0.064063,0.032907,46,16000,46,0,1,0,0,923,46,1.30879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1070,0,0,0,0,0,0,11.4063,0,0,0,0,0,0,0,0,1.17579e+006,0,1.17579e+006,0.052907,0.052907,0.0318734,53,17000,53,0,1,0,0,1070,53,1.67579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1014,0,0,0,0,0,0,10.2907,0,0,0,0,0,0,0,0,1.03634e+006,0,1.03634e+006,0.0518734,0.0518734,0.0540824,50,18000,50,0,1,0,0,1014,50,1.53634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1009,0,0,0,0,0,0,10.1873,0,0,0,0,0,0,0,0,1.02342e+006,0,1.02342e+006,0.0740824,0.0740824,0.0352204,50,19000,50,0,1,0,0,1009,50,1.52342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1120,0,0,0,0,0,0,12.4082,0,0,0,0,0,0,0,0,1.30103e+006,0,1.30103e+006,0.0552204,0.0552204,0.0161608,56,20000,56,0,1,0,0,1120,56,1.80103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1026,0,0,0,0,0,0,10.522,0,0,0,0,0,0,0,0,1.06526e+006,0,1.06526e+006,0.0361608,0.0361608,0.0636286,51,21000,51,0,1,0,0,1026,51,1.56526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,930,0,0,0,0,0,0,8.61608,0,0,0,0,0,0,0,0,827010,0,827010,0.0836286,0.0836286,0.0159595,46,22000,46,0,1,0,0,930,46,1.32701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1168,0,0,0,0,0,0,13.3629,0,0,0,0,0,0,0,0,1.42036e+006,0,1.42036e+006,0.0359595,0.0359595,0.033504,58,23000,58,0,1,0,0,1168,58,1.92036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,929,0,0,0,0,0,0,8.59595,0,0,0,0,0,0,0,0,824493,0,824493,0.053504,0.053504,0.0354835,46,24000,46,0,1,0,0,929,46,1.32449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1017,0,0,0,0,0,0,10.3504,0,0,0,0,0,0,0,0,1.0438e+006,0,1.0438e+006,0.0554835,0.0554835,0.0127387,50,25000,50,0,1,0,0,1017,50,1.5438,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1027,0,0,0,0,0,0,10.5483,0,0,0,0,0,0,0,0,1.06854e+006,0,1.06854e+006,0.0327387,0.0327387,0.0537246,51,26000,51,0,1,0,0,1027,51,1.56854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,913,0,0,0,0,0,0,8.27387,0,0,0,0,0,0,0,0,784233,0,784233,0.0737246,0.0737246,0.0563308,45,27000,45,0,1,0,0,913,45,1.28423,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1118,0,0,0,0,0,0,12.3725,0,0,0,0,0,0,0,0,1.29656e+006,0,1.29656e+006,0.0763308,0.0763308,0.0436206,55,28000,55,0,1,0,0,1118,55,1.79656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1131,0,0,0,0,0,0,12.6331,0,0,0,0,0,0,0,0,1.32913e+006,0,1.32913e+006,0.0636206,0.0636206,0.0488513,56,29000,56,0,1,0,0,1131,56,1.82913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1068,0,0,0,0,0,0,11.3621,0,0,0,0,0,0,0,0,1.17026e+006,0,1.17026e+006,0.0688513,0.0688513,0.0465673,53,30000,53,0,1,0,0,1068,53,1.67026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1094,0,0,0,0,0,0,11.8851,0,0,0,0,0,0,0,0,1.23564e+006,0,1.23564e+006,0.0665673,0.0665673,0.0182056,54,31000,54,0,1,0,0,1094,54,1.73564,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1082,0,0,0,0,0,0,11.6567,0,0,0,0,0,0,0,0,1.20709e+006,0,1.20709e+006,0.0382056,0.0382056,0.0341821,54,32000,54,0,1,0,0,1082,54,1.70709,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
