wealth_human,expenditure_consumption,expenditure_tax,consumption_propensity,new_savings,cash_on_hand_real_desired,cash_on_hand_desired,cash_on_hand_current,saving_propensity,saving_propensity_optimist,saving_propensity_pessimist,income_current,income_average,income_wage,income_unemployment_benefit,income_gov_transfers,income_firm_owner_dividend,unemployed,reservation_wage,unemp_duration,unemp_duration_upper_bound,positive_sentiment,business_owner,c_f,c_h,c_excess_money,p_majority_op_adoption
9222,0,0,0.461136,0,0,0,0,0.187045,0.187045,0.287045,0,0,0,0,0,0,0,0,0,9,1,0,0.474091,0.187045,0.287045,0.198181
14804,0,0,0.740239,0,0,0,0,0.28008,0.28008,0.38008,0,0,0,0,0,0,0,0,0,13,1,0,0.660159,0.28008,0.38008,0.570318
5503,0,0,0.275156,0,0,0,0,0.125052,0.125052,0.225052,0,0,0,0,0,0,0,0,0,7,1,0,0.350104,0.125052,0.225052,0.284954
10524,0,0,0.526215,0,0,0,0,0.208738,0.208738,0.308738,0,0,0,0,0,0,0,0,0,10,1,0,0.517477,0.208738,0.308738,0.273853
10357,0,0,0.51789,0,0,0,0,0.205963,0.205963,0.305963,0,0,0,0,0,0,0,0,0,10,1,0,0.511926,0.205963,0.305963,0.189595
9093,0,0,0.454697,0,0,0,0,0.184899,0.184899,0.284899,0,0,0,0,0,0,0,0,0,9,1,0,0.469798,0.184899,0.284899,0.341636
11374,0,0,0.568727,0,0,0,0,0.222909,0.222909,0.322909,0,0,0,0,0,0,0,0,0,10,1,0,0.545818,0.222909,0.322909,0.287797
10566,0,0,0.528348,0,0,0,0,0.209449,0.209449,0.309449,0,0,0,0,0,0,0,0,0,10,1,0,0.518898,0.209449,0.309449,0.328995
11184,0,0,0.559246,0,0,0,0,0.219749,0.219749,0.319749,0,0,0,0,0,0,0,0,0,10,1,0,0.539497,0.219749,0.319749,0.258839
2890,0,0,0.144524,0,0,0,0,0.0815081,0.0815081,0.181508,0,0,0,0,0,0,0,0,0,5,1,0,0.263016,0.0815081,0.181508,0.117102
10132,0,0,0.50663,0,0,0,0,0.20221,0.20221,0.30221,0,0,0,0,0,0,0,0,0,10,1,0,0.50442,0.20221,0.30221,0.122749
8006,0,0,0.400326,0,0,0,0,0.166775,0.166775,0.266775,0,0,0,0,0,0,0,0,0,8,1,0,0.433551,0.166775,0.266775,0.21575
8091,0,0,0.404562,0,0,0,0,0.168187,0.168187,0.268187,0,0,0,0,0,0,0,0,0,8,1,0,0.436374,0.168187,0.268187,0.596253
9486,0,0,0.474313,0,0,0,0,0.191438,0.191438,0.291438,0,0,0,0,0,0,0,0,0,9,1,0,0.482875,0.191438,0.291438,0.0970295
15193,0,0,0.75969,0,0,0,0,0.286563,0.286563,0.386563,0,0,0,0,0,0,0,0,0,13,1,0,0.673126,0.286563,0.386563,0.39063
7705,0,0,0.385272,0,0,0,0,0.161757,0.161757,0.261757,0,0,0,0,0,0,0,0,0,8,1,0,0.423515,0.161757,0.261757,0.27907
12109,0,0,0.605473,0,0,0,0,0.235158,0.235158,0.335158,0,0,0,0,0,0,0,0,0,11,1,0,0.570315,0.235158,0.335158,0.268734
10436,0,0,0.521803,0,0,0,0,0.207268,0.207268,0.307268,0,0,0,0,0,0,0,0,0,10,1,0,0.514535,0.207268,0.307268,0.490824
10281,0,0,0.514051,0,0,0,0,0.204684,0.204684,0.304684,0,0,0,0,0,0,0,0,0,10,1,0,0.509367,0.204684,0.304684,0.302204
13612,0,0,0.680618,0,0,0,0,0.260206,0.260206,0.360206,0,0,0,0,0,0,0,0,0,12,1,0,0.620412,0.260206,0.360206,0.111608
10783,0,0,0.539153,0,0,0,0,0.213051,0.213051,0.313051,0,0,0,0,0,0,0,0,0,10,1,0,0.526102,0.213051,0.313051,0.586286
7924,0,0,0.396206,0,0,0,0,0.165402,0.165402,0.265402,0,0,0,0,0,0,0,0,0,8,1,0,0.430804,0.165402,0.265402,0.109595
15044,0,0,0.752214,0,0,0,0,0.284071,0.284071,0.384071,0,0,0,0,0,0,0,0,0,13,1,0,0.668143,0.284071,0.384071,0.28504
7893,0,0,0.394696,0,0,0,0,0.164899,0.164899,0.264899,0,0,0,0,0,0,0,0,0,8,1,0,0.429797,0.164899,0.264899,0.304835
10525,0,0,0.52628,0,0,0,0,0.20876,0.20876,0.30876,0,0,0,0,0,0,0,0,0,10,1,0,0.51752,0.20876,0.30876,0.0773871
10822,0,0,0.541126,0,0,0,0,0.213709,0.213709,0.313709,0,0,0,0,0,0,0,0,0,10,1,0,0.527417,0.213709,0.313709,0.487246
7410,0,0,0.37054,0,0,0,0,0.156847,0.156847,0.256847,0,0,0,0,0,0,0,0,0,8,1,0,0.413694,0.156847,0.256847,0.513308
